detail	date	price(in_dollar)	number_of_bed	rating_value	amount_of_answers	property_type	city	country	state
Bamboo Cottage in Aptos Mountain Retreat & Spa	Jul 16 - 21	130.0	1 queen bed	4.78	257	Tiny home	Aptos	US	California
The Ohana	Jun 23 - 28	99.0	1 queen bed	4.86	182	Guesthouse	Naalehu	US	Hawaii
23FL Skyline King Studio w/Ocean & City Views.	Jun 12 - 18	221.0	2 beds	4.95	41	Condo	Honolulu	US	Hawaii
Room 2 Queen beds- Buffet Breakfast-Steps to beach	Jun 5 - 10	116.0	2 beds	4.38	156	Boutique hotel	Miami Beach	US	Florida
Luxury Condo in Hotel, amenities Downtown/Brickell	Jun 11 - 16	219.0	2 sofa beds	4.94	72	Condo	Miami	US	Florida
The Ohana	Jun 23 - 28	99.0	1 queen bed	4.86	182	Guesthouse	Naalehu	US	Hawaii
Enchanting Tiny Home 1 KM from downtown Sackville	Jun 3 - 8	117.0	1 queen bed	4.86	64	Tiny home	Sackville	Canada	
Isla Verde Beach Studio {105}	Jul 23 - 28	97.0	2 queen beds	4.67	433	Apartment	Carolina	Puerto Rico	
Beachfront Condo Now Available! Sleeps 4 + Parking	Jun 4 - 9	133.0	2 beds	4.51	88	Condo	Atlantic City	US	New Jersey
CASA BADAWI in 400m Tropical Garden. Optical Fiber	Jun 6 - 11	72.0	2 beds	4.96	108	Bungalow	Puerto Viejo de Talamanca	Costa Rica	
Beachside Apartment with Pool	Jun 10 - 15	117.0	2 beds	4.84	270	Apartment	Santa Teresa Beach	Costa Rica	
Oceanfront 16th Floor Brand New Beachfront Flat	Jun 7 - 12	302.0	1 bed	4.83	683	Condo	Miami Beach	US	Florida
House1 private swming pool, BBQ ranch, wifi 200mb	Jun 26 - Jul 1	43.0	4 beds	4.83	108	Chalet	Matapalo	Costa Rica	
LOVELY ROOM, WALK TO BEACH, GORGEOUS DECK	Jun 17 - 22	146.0	2 queen beds	4.88	256	Room	Panama City Beach	US	Florida
Beachfront Escape Unit #1 at Beachcomber Cottages	Jun 20 - 25	212.0	2 beds	4.54	151	Apartment	Yachats	US	Oregon
CDM-Beach living @ Condado with pool and parking!	Jul 9 - 14	144.0	2 king beds	4.84	141	Condo	San Juan	Puerto Rico	
AHHH-MAZING VIEWS! Beach Front Apt.	Sep 6 - 12	121.0	2 beds	4.88	490	Condo	Luquillo	Puerto Rico	
Tropical Island Escape w/ Deck, Walk to Avalon Bay	Jun 19 - 24	336.0	1 queen bed	4.34	80	Home	Avalon	US	California
The Thimbleberry MicroCabin near lake, hot tub use	Jun 4 - 9	108.0	1 queen bed	4.97	146	Cabin	Sorrento	Canada	
Private room/bathroom in modern house with Pool	Jul 8 - 14	128.0	1 queen bed	4.83	181	Room	Miami	US	Florida
Modern 1/1, Half a Block from The Ocean	Jun 12 - 17	140.0	2 beds	4.75	308	Apartment	Miami Beach	US	Florida
Satori Suite (The Bamboo House)	Jun 9 - 14	199.0	2 double beds	4.91	292	Room	Kailua-Kona	US	Hawaii
Cancun Suites (Standard Room)	Jul 2 - 8	81.0	3 beds	4.47	192	Apartment	Cancún	Mexico	
Tropicana Suite-Grand Manor Luxury Mansion Loft	Aug 6 - 12	92.0	1 king bed	4.86	494	Room	Galveston	US	Texas
Disney/Universal Home Away from Home!	Aug 20 - 25	162.0	1 king bed	4.95	221	Room	Kissimmee	US	Florida
Pink Galaxy | Private Observatory · Hot Tub · Pool	Jun 7 - 12	283.0	1 queen bed	5.0	9	Villa	Morongo Valley	US	California
Camera argento in tipica casa coloniale	Jun 19 - 24	42.0	3 beds	4.81	168	Room	La Habana	Cuba	
GARDEN ROOM, private bathroom, separate entrance	Jun 24 - 29	184.0	2 beds	4.96	284	Room	Kihei	US	Hawaii
Tree House - Beach Area, KS bed, 3 PPL	Jul 10 - 15	157.0	1 double bed	4.75	165	Treehouse	Zona Hotelera	Mexico	
It Hotel & Residences - Studio Rental in PDC	Jun 3 - 8	75.0	1 double bed	4.79	253	Apartment	Playa del Carmen	Mexico	
Cozy & Neat hotel room 2pax ocean view WiFi,Pool	Aug 5 - 10	115.0	1 double bed	4.52	92	Hotel	Isla Mujeres	Mexico	
Meteora Stay & Coffehouse Tulum - Deluxe Queen	Jun 1 - 6	59.0	1 double bed	4.74	105	Hostel	Tulum	Mexico	
Movie Theater + Kid Friendly | Book the Dome!	Jun 4 - 9	200.0	1 double bed	4.97	64	Home	Oceanside	US	Oregon
My Adirondack Home - Very Scenic	Jun 5 - 10	107.0	1 double bed	4.96	520	Room	Wilmington	US	New York
New 16th Floor Beachfront 180º Oceanview Apartment	Jun 1 - 6	302.0	1 double bed	4.87	659	Condo	Miami Beach	US	Florida
Camilo's Luxury Shared Townhouse	Jul 13 - 18	81.0	1 double bed	4.87	301	Room	Cancún	Mexico	
Surf, family & friends! Tropical Room in downtown	Jun 3 - 8	51.0	1 double bed	4.95	86	Room	Cancún	Mexico	
1208 Beach property part ocean & pool view	Jun 2 - 7	79.0	1 double bed	4.64	148	Apartment	Cancún	Mexico	
Amazing panoramic tree house Norway	Jun 4 - 9	285.0	1 double bed	4.86	410	Treehouse	Sandane	Norway	
Beachfront Cottage on the Lake	Jun 11 - 16	140.0	4 beds	4.72	25	Home	Jurków	Poland	
Off-Grid vineyard and olive orchard home.	Jun 7 - 13	144.0	3 beds	5.0	9	Farm stay	Şarköy	Turkey	
Mirror House Iceland	Sep 1 - 6	735.0	1 bed	0.0	0	Cabin	Hvanneyri	Iceland	
"R.I.P. by ŘÍP - 
Rest In Pod by ŘÍP"	Jun 1 - 6	78.0	1 sofa bed	4.92	36	Place to stay	Krabčice	Czechia	
LOVE Attic	Jun 4 - 9	209.0	2 beds	4.85	178	Condo	Fiumicino	Italy	
Natural show in Cabaña Alcazaba	Jun 11 - 16	111.0	4 double beds	4.86	568	Cabin	Güejar Sierra	Spain	
MU_Moradas no Ulla 6. Cabañas de Compostela.	Jun 11 - 16	112.0	1 queen bed	4.96	89	Cabin	Teo	Spain	
Unik Hobbit Cabin	Jun 1 - 6	221.0	2 beds	4.84	239	Place to stay	Hol	Norway	
Simple guesthouse on a farm. Double bed and sofa bed. Free Wi-Fi and parking. WC and living room/kitchenette in separate building	Jun 26 - Jul 1	73.0	2 beds	4.89	18	Farm stay	Nyköping S	Sweden	
Boat in Orlik, you want it!	Jun 8 - 13	78.0	4 sofa beds	4.31	29	Houseboat	Jickovice	Czechia	
Forest cabin	Sep 26 - Oct 2	80.0	1 double bed	4.84	212	Cabin	Hornedo	Spain	
Amonde Village - Casa P * Comfort & Quality	Jun 18 - 25	168.0	3 beds	4.98	51	Home	Viana do Castelo	Portugal	
Tower house Gombola	Jun 4 - 9	166.0	3 beds	4.87	45	Tower	Gombola	Italy	
hut in the mid. of nowhere + priv pond+3 ha	Jun 1 - 6	181.0	2 beds	4.79	396	Cabin	Darżkowo	Poland	
The Water Tower at Long Meadow Farm	Jun 4 - 9	246.0	2 double beds	4.85	181	Home	Kenilworth	UK	
Alte Wassermühle Friedrichshausen - Eulenstube	Jun 10 - 15	55.0	3 beds	4.96	25	Room	Dassel	Germany	
Vovady Farm : Roulotte Bohème	Jun 1 - 6	82.0	3 beds	4.85	34	Farm stay	Montregard	France	
Biron aux Puces de Saint Vincent Market	Oct 29 - Nov 3	95.0	2 double beds	4.9	61	Room	Saint-Ouen	France	
Cabin on the countryside close to the small city.	Jun 10 - 15	111.0	5 beds	4.71	51	Cabin	Gällstad	Sweden	
La Barona Chalet	Jun 4 - 9	223.0	1 bed	4.99	240	Cabin	Trasquera	Italy	
"""Lieblingsplatz"" shepherd's hut"	Jun 2 - 7	55.0	2 beds	4.96	24	Shepherd’s hut	Hessisch Lichtenau	Germany	
Rectory Farm Hideaway	Aug 28 - Sep 2	178.0	2 double beds	4.93	535	Hut	Oxfordshire	UK	
The Black Shack @ Bancran School	Aug 4 - 9	169.0	3 beds	4.97	304	Tiny home	Draperstown	UK	
Apartment Caribe - PlusHolidays	Jun 1 - 6	80.0	2 double beds	3.67	3	Apartment	Calpe	Spain	
Anty's Pond: Davy Crockett's Hut	Jun 23 - 28	93.0	2 double beds	4.87	150	Shepherd’s hut	Saint-Nabord	France	
Biarritz Grande Plage 25m2 with Balcony	Jun 1 - 6	176.0	2 beds	4.91	316	Apartment	Biarritz	France	
TRULLO ISABELLA	Jun 25 - 30	158.0	4 beds	4.98	95	Trullo	Ostuni	Italy	
Secluded Hand crafted log cabin	Jun 5 - 10	139.0	1 bed	5.0	68	Farm stay	Girvan	UK	
Stargazer Cabin - Monmouth Walking Distance Town	Jul 27 - Aug 1	240.0	1 sofa bed	4.9	287	Cabin	Monmouth	UK	
"Baita Vrei (2)""Titta"" - Hut Lago Maggiore"	Jun 4 - 9	61.0	2 beds	4.84	63	Home	Miazzina	Italy	
Tranquil retreat with fantastic countryside views	Aug 2 - 7	115.0	2 beds	4.92	227	Tiny home	Poltimore	UK	
Romantic and one-of-a-kind Beachouse	Oct 12 - 17	183.0	4 beds	4.88	48	Villa	Pollina	Italy	
Ilaira Apartments	Jun 7 - 12	86.0	1 double bed	4.86	38	Condo	Χράνοι	Greece	
Central 1bedroom apt by the sea	Oct 10 - 15	61.0	2 beds	4.76	214	Apartment	Rodos	Greece	
Cosy Romantic Cabin with Wood Burning Stove.	Jun 11 - 16	107.0	2 beds	4.96	274	Tiny home	Midmar	UK	
Historic residence surrounded by olive trees	Jun 12 - 17	75.0	2 beds	4.98	46	Farm stay	Agello	Italy	
Wonderful Old Cabin on Rare Natural Site	Jun 11 - 16	147.0	1 queen bed	4.93	151	Cabin	Adainville	France	
Stay in the castle, with family or friends	Jun 18 - 23	92.0	4 beds	4.94	169	Castle	Vay	France	
XS Village - Arrifana Suite (private bathroom)	Jun 24 - 29	100.0	2 beds	4.96	25	Room	Aljezur	Portugal	
The Loft at the Bonnington Farm	Jun 15 - 21	135.0	1 bed	4.89	423	Barn	Rattray	UK	
KALEİÇİ BACCHUS OTEL DENİZ MANZARALI TATİL 501	Jun 25 - 30	83.0	1 bed	4.73	230	Hotel room	Muratpaşa	Turkey	
strawbale roundhouse for vegetarian	Jun 29 - Jul 4	108.0	2 beds	4.9	297	Earthen home	Bronwydd Arms	UK	
Wohnung Ruth Herrenhaus Viecheln Anno 1869	Jun 11 - 16	121.0	2 beds	4.97	34	Room	Behren-Lübchin	Germany	
Swiss Tiny Chalet	Jun 1 - 6	109.0	4 single beds	4.8	157	Tiny home	Les Haudères	Switzerland	
The Napoleonic period chalet in the High Jura	Jul 16 - 21	105.0	1 queen bed	4.98	190	Chalet	Étival	France	
Moulin de Boiscorde, ideal for couples and families	Jun 2 - 7	128.0	3 beds	4.9	41	Home	Rémalard	France	
Rural Tuscany | Wine farm with pool | Terrarossa	Jun 14 - 20	148.0	5 beds	4.33	6	Farm stay	Montepulciano	Italy	
Magical Trullo in Ostuni Cis BR0740129000012213	Jul 19 - 24	105.0	1 sofa bed	4.87	87	Trullo	Ostuni	Italy	
Gruszkówka 1 Cottage (7 km from Białka )	Jun 18 - 25	96.0	1 bed	4.98	86	Cabin	Nowy Targ	Poland	
Woodland Stargazing Cabin	Jun 2 - 7	133.0	1 bed	4.83	174	Shepherd’s hut	Hollacombe	UK	
Room available in Greater London suburb home	May 1 - 6	43.0	1 bed	4.98	94	Room	London	UK	
Casa Tua	Jun 4 - 9	142.0	1 bed	4.66	68	Apartment	Megalochori	Greece	
CABIN X GPF	Jun 25 - 30	225.0	1 bed	4.99	239	Farm stay	Catsfield	UK	
Alhambra Trails 2	Jun 6 - 13	94.0	2 beds	4.78	36	Room	La Zubia	Spain	
""" La cabane du Gozzi"""	Jun 1 - 6	85.0	2 beds	4.79	346	Chalet	Afa	France	
FLH Ericeira Ocean Flat	Jul 16 - 21	216.0	3 beds	4.45	187	Apartment	Ericeira	Portugal	
manoir 19 ème siècle LE COUTUREAU isaline	Jun 1 - 6	135.0	1 bed	5.0	11	Room	Rouffignac-de-Sigoulès	France	
Guesthouse an der Vechte	Jul 22 - 27	50.0	2 beds	4.94	104	Guesthouse	Esche	Germany	
L & C Deluxe Apartment - luxury and comfort	Jun 6 - 11	136.0	1 double bed	5.0	45	Condo	Kremasti	Greece	
Country House	Jun 11 - 16	69.0	3 beds	4.94	84	Room	Torreglia	Italy	
Luxury Triple cave room	Jun 12 - 17	129.0	4 beds	4.72	32	Cave	Mesaria	Greece	
Rural Retreat on the Ashdown Forest	Jun 12 - 17	184.0	1 double bed	4.96	114	Barn	Nutley	UK	
Magazine - Oskar Schwebel -	Jun 11 - 16	136.0	4 single beds	4.66	277	Castle	Winningen	Germany	
CasasdoCasinhotoD-Rustic House (pool; river view)	Jun 12 - 17	131.0	1 double bed	4.81	43	Home	Baião	Portugal	
Elegant Little Wyvis Lodge - Sleeps 2	Jun 2 - 7	159.0	3 beds	4.96	95	Nature lodge	Highland Council	UK	
Rural Aledo - El Estrecho	Jun 18 - 25	76.0	4 beds	4.78	24	Cabin	Totana	Spain	
Nasos' Treehouse	Jun 1 - 6	98.0	2 single beds	4.81	98	Treehouse	Fountana	Greece	
FredrikLars farm at Nordmarksberg Manor	Jun 24 - 30	44.0	2 single beds	4.98	46	Cabin	Filipstad N	Sweden	
La Tana del Lupo B&B, family and outdoor sports	Sep 18 - 23	73.0	2 single beds	4.99	121	Room	Borgo Valsugana	Italy	
The Llama Lodge - a Log Cabin on a Llama Farm	Jun 4 - 9	205.0	2 single beds	4.92	60	Cabin	Llandissilio	UK	
"Quaint ""Petra Lustig"" construction car"	Jun 24 - 30	48.0	2 single beds	0.0	0	Camper/RV	Mayen	Germany	
Country House	Jun 11 - 16	69.0	2 beds	4.94	84	Room	Torreglia	Italy	
Luxury Triple cave room	Jun 12 - 17	129.0	3 beds	4.72	32	Cave	Mesaria	Greece	
Magazine - Oskar Schwebel -	Jun 11 - 16	136.0	4 beds	4.66	277	Castle	Winningen	Germany	
CasasdoCasinhotoD-Rustic House (pool; river view)	Jun 12 - 17	131.0	1 double bed	4.81	43	Home	Baião	Portugal	
Elegant Little Wyvis Lodge - Sleeps 2	Jun 2 - 7	159.0	4 single beds	4.96	95	Nature lodge	Highland Council	UK	
Rural Aledo - El Estrecho	Jun 18 - 25	76.0	1 double bed	4.78	24	Cabin	Totana	Spain	
Nasos' Treehouse	Jun 1 - 6	98.0	1 queen bed	4.91	32	Treehouse	Fountana	Greece	
The North Windmill ⚓ Unique House with View	Jun 9 - 14	184.0	4 beds	4.98	46	Vacation home	Akrotiri	Greece	
La Tana del Lupo B&B, family and outdoor sports	Sep 18 - 23	73.0	1 king bed	4.99	121	Room	Borgo Valsugana	Italy	
The Llama Lodge - a Log Cabin on a Llama Farm	Jun 4 - 9	205.0	2 beds	4.95	111	Cabin	Llandissilio	UK	
Bumble Bee Cottage	Jun 11 - 16	141.0	4 beds	4.93	410	Cottage	Trefeinon	UK	
Gorgeous yurt in amazing mountain/forest location	Jul 12 - 17	107.0	1 bed	4.91	339	Yurt	Cynwyd	UK	
Diamond Home 1, romantic gem, 20 min to Acropolis	Jul 5 - 10	112.0	4 beds	4.79	217	Apartment	Athina	Greece	
TrulLetto	Jun 4 - 9	114.0	3 beds	4.85	52	Trullo	Alberobello	Italy	
Tyga Gård, probably most beautiful on Bjäre	Jun 1 - 6	94.0	1 queen bed	4.9	43	Cabin	Båstad V	Sweden	
Silk Trulli	Jun 3 - 8	86.0	1 queen bed	4.52	21	Home	Coreggia	Italy	
The Olive Tree Court	Jun 3 - 8	92.0	1 queen bed	4.85	143	Trullo	Martina Franca	Italy	
LaCorte CAMERA BLU NEAR FERRARI WITH PRIVATE PARK	Aug 21 - 26	73.0	1 queen bed	0.0	0	Room	Montale Rangone	Italy	Modena
Friedrichshain Beautiful Sunny Room with Balcony	Jul 25 - 31	135.0	2 beds	5.0	6	Room	Berlin	Germany	
Cozy en-suite double room in S. Peter's / Borgo	Nov 30 - Dec 5	60.0	1 king bed	4.88	331	Room	Rome	Italy	
Star Night Room - Van Gogh Hills B&B	Jun 1 - 6	68.0	3 beds	4.91	23	Room	Santa Lucia	Italy	
La Petite Chaumière	Jun 2 - 7	85.0	1 double bed	4.79	39	Home	Reclesne	France	
Green - Lawns in Tuscany	Jul 8 - 13	91.0	3 double beds	4.97	145	Farm stay	Asciano	Italy	
Casa Cerbaia | Betulla	Jun 21 - 26	86.0	4 double beds	4.95	19	Farm stay	Pennabilli	Italy	
Sommerfjøset on Hovelsrud, Helgøya	Jul 14 - 20	328.0	2 beds	4.96	136	Barn	Nes På Hedmark	Norway	
Cozy cottage in Torsåker (Hofors)	Jun 7 - 12	75.0	4 single beds	4.83	254	Cabin	Torsåker	Sweden	
Nice place for your stay in Paris	Oct 30 - Nov 5	86.0	1 sofa bed	4.96	319	Room	Saint-Mandé	France	
Peaceful, wooden garden cabin	Jul 9 - 14	93.0	1 sofa bed	4.91	255	Cabin	Walpole	UK	
Rural farm-Spacious triple bedroom with en suite	Jul 2 - 7	71.0	1 sofa bed	4.92	113	Place to stay	East Farndon	UK	
Private room in the heart of nature	Jun 3 - 8	42.0	1 sofa bed	4.96	114	Room	Rüthen	Germany	
Xavier House	Oct 9 - 14	43.0	1 sofa bed	4.89	184	Room	Rome	Italy	
Akti Karras, Plaka Naxos (up to 2 guests)	Jun 20 - 25	55.0	1 sofa bed	4.91	23	Apartment	Plaka	Greece	
Studio lookout	Jun 1 - 6	31.0	1 sofa bed	4.45	240	Condo	Saint-Lary-Soulan	France	
Bavarian room in the Dolomites	Jun 1 - 6	84.0	1 sofa bed	4.8	5	Room	Borgo Valbelluna	Italy	
Cosy interesting loam house	Jun 5 - 12	78.0	1 sofa bed	5.0	10	Room	Kassel	Germany	
Nice room in duplex + terrace near BCN	Nov 11 - 16	55.0	1 sofa bed	4.89	128	Room	Barcelona	Spain	
Lost Paradise - A night into the Alentejo!	Jun 1 - 6	85.0	5 double beds	4.95	39	Tent	Sabóia	Portugal	
Cabin in the wild	Sep 3 - 10	95.0	2 queen beds	4.98	46	Place to stay	Mont-le-Vernois	France	
Amazing shipping container house + sea views+ WIFI	Aug 7 - 12	164.0	1 bed	4.91	43	Shipping container	Dirlaught	Ireland	
Countryside Sleeps, Bakery, Homestay	Jul 16 - 21	73.0	1 double bed	4.95	385	Hut	Witzenhausen	Germany	
Kimiro Hotel Tsilivi	Jun 5 - 10	97.0	1 double bed	4.91	43	Room	Planos	Greece	
Studio apartment with AC - Suite 3	Jun 17 - 22	34.0	3 beds	5.0	3	Apartment	Kadıköy	Turkey	
Sicilian Mountain Oasis - Entire Villa (Smart W.)	Nov 14 - 19	100.0	2 double beds	4.94	325	Cottage	Nicosia	Italy	
İzmir Bungalow. ( Urla treehouse 1)	Jun 8 - 13	74.0	1 bed	4.82	223	Bungalow	Izmir	Turkey	
The Folly - Cornwall	Jun 18 - 23	111.0	1 bed	5.0	11	Guesthouse	Perranwell Station	UK	
Echoes Exclusive Suite	Jun 29 - Jul 6	526.0	2 beds	4.98	40	Apartment	Areti	Greece	
Delightfull Dome with Hot tub & sauna on the beach	Jun 3 - 8	319.0	1 king bed	4.98	52	Dome	Wapnica	Poland	
Romantic Ocean View Couples Retreat Cornwall	Jun 10 - 15	357.0	2 beds	5.0	61	Cabin	Millbrook	UK	
THE AQUARIUM … waterfront 🧜🏾‍♂️	Jun 26 - Jul 1	61.0	3 beds	4.72	103	Guest suite	La Marsa	Tunisia	
Gäststuga Knorrasjön	Jun 12 - 17	95.0	2 double beds	0.0	0	Guesthouse	Jonstorp	Sweden	
Villa Laurito	Oct 31 - Nov 5	185.0	1 double bed	4.88	66	Home	Positano	Italy	
"""La Parra"", rural tourism. Your home in paradise."	Sep 16 - 21	67.0	1 bed	4.99	335	Cottage	Benalauría	Spain	
Hascherle Hitt	Jun 5 - 10	86.0	2 beds	5.0	57	Tiny home	Muldenhammer	Germany	
Villa Trouz Ar Mor	Jul 1 - 6	135.0	2 beds	4.85	13	Home	Audierne	France	
İzmir Bungalow. ( Urla treehouse 1)	Jun 8 - 13	74.0	2 double beds	4.82	223	Bungalow	Izmir	Turkey	
The Folly - Cornwall	Jun 18 - 23	111.0	1 bed	5.0	11	Guesthouse	Perranwell Station	UK	
Echoes Exclusive Suite	Jun 29 - Jul 6	526.0	1 bed	4.98	40	Apartment	Areti	Greece	
Delightfull Dome with Hot tub & sauna on the beach	Jun 3 - 8	319.0	2 beds	4.98	52	Dome	Wapnica	Poland	
Romantic Ocean View Couples Retreat Cornwall	Jun 10 - 15	357.0	1 king bed	5.0	61	Cabin	Millbrook	UK	
THE AQUARIUM … waterfront 🧜🏾‍♂️	Jun 26 - Jul 1	61.0	2 beds	4.72	103	Guest suite	La Marsa	Tunisia	
Gäststuga Knorrasjön	Jun 12 - 17	95.0	3 beds	0.0	0	Guesthouse	Jonstorp	Sweden	
Villa Laurito	Oct 31 - Nov 5	185.0	2 double beds	4.88	66	Home	Positano	Italy	
Peaceful Country Treehouse Nr Penzance & St Ives	Jul 6 - 11	294.0	1 double bed	4.95	292	Treehouse	Penzance	UK	
"""La Parra"", rural tourism. Your home in paradise."	Sep 16 - 21	67.0	1 double bed	4.99	335	Cottage	Benalauría	Spain	
Cabaña ecológica de madera en la naturaleza	Jun 11 - 16	80.0	3 beds	4.79	14	Cabin	La Atalaya	Spain	
Gallas Pod House	Jun 1 - 6	57.0	2 beds	5.0	25	Tiny home	Vouzela	Portugal	
Hascherle Hitt	Jun 5 - 10	86.0	1 bed	5.0	57	Tiny home	Muldenhammer	Germany	
Waterfront #41Design - CozyCityCenter Flat	Jul 8 - 13	70.0	2 beds	4.84	546	Apartment	Thessaloniki	Greece	
Villa Trouz Ar Mor	Jul 1 - 6	135.0	2 beds	4.85	13	Home	Audierne	France	
"Treehouse Izmir 
View all our houses please .."	Jun 11 - 16	40.0	3 double beds	4.9	394	Treehouse	Torbalı	Turkey	
Kaktus Suites Fethiye - City Bungalow 2 w/pool	Jun 17 - 22	69.0	1 double bed	4.87	53	Bungalow	Fethiye	Turkey	
Yurt op Off-Grid Homestead	Jun 4 - 9	49.0	1 bed	4.92	38	Yurt	Finestrat	Spain	
Cabin into the wild	Jun 4 - 9	77.0	1 queen bed	4.67	282	Cabin	Idrac respailles	France	
💎Boka Bay view apartment.💎	Jul 8 - 14	93.0	3 beds	4.69	218	Apartment	Kotor	Montenegro	
Seaside & Garden Single family home	Jun 8 - 13	104.0	2 beds	4.94	33	Home	Chalkida	Greece	
Del Sol. Studio across the sea 1.	Jun 1 - 6	61.0	2 beds	0.0	0	Home	Skopelos	Greece	
16th Century Scottish Borders Tower, by Earlston	Jul 13 - 18	252.0	3 queen beds	4.96	464	Place to stay	Scottish Borders	UK	
Porto Bello Lux ( Sea View & Swimming Pool)	Jun 5 - 10	58.0	4 beds	4.9	110	Loft	Baošići	Montenegro	
Spectacular view of Supertubos beach, Peniche	Oct 1 - 6	126.0	3 beds	4.82	34	Home	Atouguia da Baleia	Portugal	
1A chalet resting crickets + hiking with indoor sauna	Jun 22 - 27	123.0	3 beds	4.67	110	Home	Bad Sankt Leonhard im Lavanttal	Austria	
Beachfront apartment with perfect seaview	Jun 1 - 6	231.0	4 beds	4.85	204	Vacation home	Punta Prima	Spain	
2 Cabins perched above a pond!	Jun 4 - 10	98.0	4 double beds	4.91	68	Treehouse	Verson	France	
Casale La Quercia - Tuscany country house	Jun 21 - 26	111.0	2 beds	4.94	530	Home	Vaiano	Italy	
A Boscastle barn, rustic simplicity stunning views	Jun 11 - 16	141.0	1 king bed	5.0	9	Cottage	Boscastle	UK	
House with breathtaking views!	Jul 16 - 21	222.0	3 beds	4.97	104	Cabin	County Wicklow	Ireland	
La Casita de Las Negras	Jun 14 - 19	370.0	4 beds	4.85	26	Home	Las Negras	Spain	
King's Windmill - A little house in the woods	Jul 21 - 26	111.0	2 beds	4.54	201	Cabin	Serrazone	Italy	
Q3 BNB Premium Residence - The Engineering Tower	Jun 5 - 10	147.0	1 bed	4.8	10	Lighthouse	Ploemeur	France	
The Haven Hut, warm, cosy and cute.	Jun 30 - Jul 5	64.0	1 sofa bed	4.67	9	Cabin	Bridge of Earn	UK	
Washitsu.Casa camper Parking place w/house access	Jun 1 - 6	16.0	1 bed	0.0	0	Campsite	Rif	Iceland	
Seaside & Garden Single family home	Jun 8 - 13	104.0	2 beds	4.94	33	Home	Chalkida	Greece	
Del Sol. Studio across the sea 1.	Jun 1 - 6	61.0	2 beds	0.0	0	Home	Skopelos	Greece	
16th Century Scottish Borders Tower, by Earlston	Jul 13 - 18	252.0	3 queen beds	4.96	464	Place to stay	Scottish Borders	UK	
Porto Bello Lux ( Sea View & Swimming Pool)	Jun 5 - 10	58.0	4 beds	4.9	110	Loft	Baošići	Montenegro	
Ben's hat	Jun 18 - 23	82.0	2 beds	4.92	356	Shepherd’s hut	County Durham	UK	
1A chalet resting crickets + hiking with indoor sauna	Jun 22 - 27	123.0	3 beds	4.67	110	Home	Bad Sankt Leonhard im Lavanttal	Austria	
Beachfront apartment with perfect seaview	Jun 1 - 6	231.0	4 beds	4.85	204	Vacation home	Punta Prima	Spain	
2 Cabins perched above a pond!	Jun 4 - 10	98.0	4 double beds	4.94	530	Treehouse	Verson	France	
A Boscastle barn, rustic simplicity stunning views	Jun 11 - 16	141.0	1 king bed	5.0	18	Cottage	Boscastle	UK	
Central luxury /Hauptbahnhof	Sep 17 - 22	92.0	3 beds	5.0	9	Room	Wien	Austria	
House with breathtaking views!	Jul 16 - 21	222.0	2 beds	4.85	26	Cabin	County Wicklow	Ireland	
King's Windmill - A little house in the woods	Jul 21 - 26	111.0	1 bed	4.54	201	Cabin	Serrazone	Italy	
Q3 BNB Premium Residence - The Engineering Tower	Jun 5 - 10	147.0	1 sofa bed	4.8	10	Lighthouse	Ploemeur	France	
The Haven Hut, warm, cosy and cute.	Jun 30 - Jul 5	64.0	1 double bed	4.77	69	Cabin	Bridge of Earn	UK	
Delightful rustic treehouse	Jun 1 - 6	42.0	1 bed	4.67	9	Treehouse	Mons	France	
Washitsu.Casa camper Parking place w/house access	Jun 1 - 6	16.0	1 double bed	4.91	107	Campsite	Rif	Iceland	
Apartment-Mansarda Vista Castello	Jun 8 - 13	61.0	4 beds	5.0	8	Condo	Roviano	Italy	
Bettyjems Stage Refuge	Jun 21 - 28	20.0	4 beds	0.0	0	Home	Jumilhac-le-Grand	France	
Mountain hut in the Elbe sandstone with log cabin sauna	Jun 4 - 9	98.0	4 beds	4.78	169	Cabin	Rosenthal-Bielatal	Germany	
"Shepherd's hut ""Wolkakkrazer"" near Wolfegg"	Jul 2 - 7	57.0	1 queen bed	4.88	220	Hut	Wolfegg	Germany	
Private domed Copula @ Free Spirit horse refuge	Jun 1 - 6	63.0	3 beds	4.61	154	Dome	Atzeneta del Maestrat	Spain	
Levanda Home	Oct 10 - 17	73.0	2 beds	4.91	147	Home	Taktikoupoli	Greece	
Face à la mer Brestoise	Jun 1 - 6	87.0	3 beds	0.0	0	Apartment	Le Relecq-Kerhuon	France	
DEEP OCEAN BUNGALOWS-PANORAMIC &DOUBLE &HALF BOARD	Jun 5 - 10	115.0	1 queen bed	4.91	75	Nature lodge	Fethiye	Turkey	
Xitaca do Pula	Jun 11 - 17	78.0	2 king beds	4.95	203	Chalet	Covilhã	Portugal	
Infinity Abram	Jun 1 - 7	61.0	1 double bed	4.57	44	Apartment	Abram	Greece	
King bedroom in historic house with garden access	Jun 4 - 9	92.0	2 beds	4.96	24	Room	Halsham	UK	
The Loggia	Jun 2 - 7	169.0	1 double bed	4.85	61	Vacation home	Rocchetta Nervina	Italy	
Ca' Roncate	Oct 24 - 31	127.0	1 double bed	4.9	378	Home	Cernobbio	Italy	
Trailer Paradise Ivonete _unwind	Jun 10 - 15	46.0	3 beds	4.97	71	Camper/RV	Wettringen	Germany	
